!min	VERB
"	PUNCT
""	PUNCT
")	PUNCT
"/docs"-ah	PUNCT
"@change"	NOUN
"a	PART
"advice"	PUNCT
"aih,	NOUN
"apple"	PUNCT
"argentina	ADP
"athan,	NOUN
"aw!	NOUN
"aw,	NOUN
"aw.	NOUN
"bassoon"	ADP
"bean	PUNCT
"berâm	NOUN
"bharat"	PUNCT
"biak	VERB
"cameroun"	PUNCT
"canada	NOUN
"candy	VERB
"card	VERB
"centaur	VERB
"chhel	ADJ
"chi	NOUN
"chibai"	NOUN
"choir"	PUNCT
"chosŏn"	PUNCT
"chuap	NOUN
"chuti	NOUN
"chutiang	ADJ
"chânna	NOUN
"common	PUNCT
"comores"	PUNCT
"complicated"	PUNCT
"danmark"	PUNCT
"dar	ADJ
"dawhkan	NOUN
"division	PRON
"dodaltu	NOUN
"donate"	VERB
"duhkima"	PUNCT
"e,	VERB
"eastern	PUNCT
"elitism"	PUNCT
"eng	ADJ
"engati	VERB
"engpawh	ADJ
"engtikah	ADJ
"engvanga	ADJ
"enoka	SCONJ
"fahima	PUNCT
"faina	ADJ
"fatima	PUNCT
"fedup-a	PUNCT
"france"	PUNCT
"group	PUNCT
"guinee"	PUNCT
"hanguk"	PUNCT
"hayastan"	PUNCT
"he	VERB
"hei	PRON
"hlim	VERB
"hmana	ADJ
"hmangaihna	NOUN
"hming	NOUN
"hmuh	VERB
"hre	VERB
"hria	VERB
"huaisen	ADJ
"huat	NOUN
"hun	NOUN
"i	PRON
"icon"	ADJ
"infin	VERB
"inlarna"	NOUN
"internationalization"	PUNCT
"italia"	PUNCT
"ka	PRON
"kaisha"	PUNCT
"kan	PRON
"kawfi	NOUN
"keini	NOUN
"kha	NOUN
"khawngaihin	NOUN
"khawngaihin,	NOUN
"khing"	VERB
"khum	NOUN
"khêng	VERB
"la"	NOUN
"lalpa,	ADJ
"leh"	CCONJ
"leia	ADJ
"leiin	VERB
"lietuva"	PUNCT
"literally"	DET
"lo	ADJ
"lungngaihna	ADJ
"lâwmna	ADJ
"madagasikara"	PUNCT
"mahni	PRON
"mahse	CCONJ
"malsawma	PUNCT
"marika	PUNCT
"mense"	PUNCT
"meṛṛuk"	PUNCT
"mi	NOUN
"mihring	NOUN
"mihring"	VERB
"mimal	ADJ
"min	PRON
"miss	PUNCT
"musa	PUNCT
"music"	PUNCT
"nadya	PUNCT
"naktuk	ADJ
"nang"	VERB
"nangmah	PRON
"nangman	ADJ
