token	tag	source
a	NOUN	word
a	PRON	word
a	PART	word
a	PART	word
a	INTJ	word
ă	VERB	word
ã	ADJ	word
abalangin	ADJ	word
abang	ADJ	word
abâng	NOUN	word
abannate	NOUN	word
abansan	VERB	word
abawhchhiat	ADJ	word
abawhtu	NOUN	word
abâwih	VERB	word
abawihnu	NOUN	word
abawk	NOUN	word
abawkkhup	VERB	word
abawkte	NOUN	word
abekbawrah	ADJ	word
abengah	ADJ	word
abiak	ADJ	word
abihrukna	NOUN	word
abika	ADJ	word
abikin	ADJ	word
abiling	ADJ	word
abiru	VERB	word
abuah	ADJ	word
achak	ADJ	word
achakna	NOUN	word
achawk	VERB	word
achha	ADP	word
achhâ	ADP	word
achhan	ADJ	word
achhang	VERB	word
achhapah	ADJ	word
achhe	ADJ	word
achhia	ADJ	word
achhiahhlawh	NOUN	word
achhiatna	NOUN	word
achhip	ADJ	word
achhuah	VERB	word
achhuhsak	VERB	word
achhun	VERB	word
achhûn	ADJ	word
achhunga	ADJ	word
achhûngkua	NOUN	word
achhûngte	NOUN	word
achhunzanin	ADJ	word
achiahhlawhte	NOUN	word
achim	ADJ	word
achin	ADJ	word
achina	ADJ	word
achinah	ADJ	word
a-chinah	ADV	word
achipuite	NOUN	word
achuang	NOUN	word
achuangin	ADJ	word
achung	ADJ	word
achunga	ADJ	word
achungah	ADJ	word
achutah	ADJ	word
adama	NOUN	word
ah	VERB	word
ah	ADV	word
ahâlral	NOUN	word
ahangin	ADV	word
ahângin	ADV	word
ahara	ADJ	word
ahâwnga	ADJ	word
ahimna	NOUN	word
ah-khaih	INTJ	word
ahlaia	ADJ	word
ahlau	ADJ	word
ahlauhawm	ADJ	word
ahlauthawng	ADJ	word
ahlawh	NOUN	word
ahlawhtlintir	ADJ	word
ahlei	ADJ	word
ahleih	ADJ	word
ahleih	ADV	word
ahlim	ADJ	word
ahluanah	ADJ	word
ahmaa	ADJ	word
ahmaah	ADJ	word
ahmaia	ADJ	word
ahmang	ADJ	word
ahmangaih	ADJ	word
ahmangaihna	NOUN	word
ahmanrua	NOUN	word
ahmasâng	ADJ	word
ahmawr	ADJ	word
ahmei	ADJ	word
ahmel	NOUN	word
ahmêl	NOUN	word
ahmin	ADJ	word
ahming	ADJ	word
ahminga	ADJ	word
ahmingah	ADJ	word
ahminghliau	ADJ	word
ahmuh	ADJ	word
ahmuhtir	ADJ	word
ahmuia	ADJ	word
ahmun	NOUN	word
ahmusitin	ADJ	word
ahnah	NOUN	word
ahnam	NOUN	word
ahnehchhiahin	ADJ	word
ahnehin	ADJ	word
ahnehtir	VERB	word
ahnêka	ADJ	word
ahnekin	ADJ	word
ahnekin	ADV	word
ahnêkin	ADJ	word
ahnêkin	ADV	word
ahnên	ADJ	word
ahnêna	ADJ	word
ahnenah	ADJ	word
ahnênah	ADJ	word
ahnim	VERB	word
ahnu	ADJ	word
ahnu	CCONJ	word
ahnû	ADJ	word
ahnua	ADJ	word
ahnu-hmanah	ADV	word
ahnuin	ADJ	word
ahnuin	CCONJ	word
ahnuk	VERB	word
ahoa	ADJ	word
ahote	NOUN	word
ahova	NOUN	word
ahrang	ADJ	word
ahrangin	ADJ	word
ahriamhrei	ADJ	word
ahriat	ADJ	word
ahriatin	ADJ	word
ahriattir	ADJ	word
ahring	VERB	word
ahruai	VERB	word
ahrui	NOUN	word
ahte	ADJ	word
ahtu	ADJ	word
ahuan	ADJ	word
ahuat	ADJ	word
ahuh	ADJ	word
ahum	ADJ	word
ahunchhan	NOUN	word
ahung	VERB	word
ahuntir	VERB	word
ahup	VERB	word
ai	NOUN	word
ai	VERB	word
ai	ADP	word
ái	VERB	word
ài	VERB	word
âi	NOUN	word
âi	VERB	word
âi	ADP	word
aiah	ADJ	word
aiah	ADP	word
âiah	ADP	word
aiang	ADJ	word
aiawh	NOUN	word
aiawh	ADJ	word
aiawhin	ADJ	word
aiawhina	ADJ	word
aiawhna	ADJ	word
aiawhte	ADJ	word
aiawhten	ADJ	word
aiawhtu	NOUN	word
aiawhtuin	NOUN	word
aiawhtûin	NOUN	word
aiawhtute	NOUN	word
aiawhtuten	NOUN	word
aiawt	NOUN	word
aiâwt	NOUN	word
aiawta	NOUN	word
aibawp	NOUN	word
aichal	NOUN	word
aichhe	NOUN	word
aichheh	NOUN	word
aichhia	NOUN	word
aidu	NOUN	word
aidup	NOUN	word
aidûp	NOUN	word
aidu-ria	NOUN	word
aidusentil	NOUN	word
ai-en	VERB	word
âi-en	VERB	word
aieng	NOUN	word
ai-eng	NOUN	word
aienin	NOUN	word
aienna	NOUN	word
aiennaah	NOUN	word
aiente	NOUN	word
aienthiam	NOUN	word
aienthiamna	NOUN	word
aienthiamte	NOUN	word
aientira	ADJ	word
âientu	NOUN	word
aientute	NOUN	word
aifiar	NOUN	word
aiguptahovin	NOUN	word
aiguptate	NOUN	word
aih	NOUN	word
aih	VERB	word
áih	NOUN	word
aihal	VERB	word
ai-hnah-phahpui	NOUN	word
âi-hnah-phahpui	NOUN	word
ai-hni	NOUN	word
aiin	ADJ	word
aiin	ADP	word
ai-inzial	VERB	word
ai-ip	NOUN	word
aikaih	ADJ	word
ai-kaih	VERB	word
âikaih	VERB	word
aikaihthiam	NOUN	word
aikaihthiamte	NOUN	word
âikaihthiamte	NOUN	word
aikal	NOUN	word
aikam	NOUN	word
aikhat	NOUN	word
âikhat	NOUN	word
aikhirh	VERB	word
aina	NOUN	word
ainawn	NOUN	word
ainngaihlu	VERB	word
aisan	VERB	word
aisanthiamte	NOUN	word
aisânthiamte	NOUN	word
aitechhin	VERB	word
aitechhinna	NOUN	word
aitechin	VERB	word
aithur	NOUN	word
aizial	VERB	word
ak	VERB	word
akai	VERB	word
akaihhnawih	ADJ	word
akaihruai	VERB	word
akaisantir	VERB	word
akal	NOUN	word
akalhna	NOUN	word
akalna	NOUN	word
akalsan	NOUN	word
akaltir	VERB	word
akap	VERB	word
akara	ADJ	word
akâra	ADJ	word
akawiin	ADJ	word
akawng	NOUN	word
akawr	NOUN	word
akeng	VERB	word
akentir	VERB	word
akharkhip	VERB	word
akhat	ADJ	word
akhawperte	NOUN	word
akhawpui	NOUN	word
akhawvel	NOUN	word
akhua	NOUN	word
akhuaa	NOUN	word
akhuarte	NOUN	word
akhuh	ADJ	word
akhum	ADJ	word
akiang	ADJ	word
akianga	ADJ	word
akil	ADJ	word
akir	ADJ	word
akîr	ADJ	word
akohtir	VERB	word
aktu	ADJ	word
akulhbinga	ADJ	word
akum	ADJ	word
akut	ADJ	word
akutah	ADJ	word
akutte	ADJ	word
al	VERB	word
alai	ADJ	word
alaia	ADJ	word
a-laiah	ADP	word
alaichin	NOUN	word
alaiin	ADJ	word
alainat	VERB	word
alak	ADJ	word
alaka	ADJ	word
alakah	ADJ	word
alaknaa	ADJ	word
alaksak	VERB	word
alakte	ADJ	word
alal	VERB	word
alalthutphah	NOUN	word
alalṭhutphah	NOUN	word
alam	VERB	word
alan	ADJ	word
alang	ADJ	word
alanga	ADJ	word
alangin	ADJ	word
alantir	VERB	word
alar	ADJ	word
alawi	ADJ	word
alawm	ADJ	word
alawm	PART	word
aláwm	PART	word
alâwm	ADJ	word
alawmzawng	ADJ	word
alei	VERB	word
aleiah	ADJ	word
a-leiah	ADP	word
aleitu	NOUN	word
alektute	NOUN	word
alên	VERB	word
alentir	VERB	word
alêt	VERB	word
alh	VERB	word
alhin	ADJ	word
alhna	NOUN	word
alhtîr	VERB	word
alhtu	NOUN	word
aliam	ADJ	word
aliam	ADP	word
aliama	ADJ	word
aliamah	ADJ	word
aliamin	ADJ	word
alian	ADJ	word
alingin	ADJ	word
a-lo	PART	word
althlum	ADJ	word
aluang	VERB	word
aluh	VERB	word
aluhna	NOUN	word
aluhtir	VERB	word
alungah	ADJ	word
alut	VERB	word
am	VERB	word
âm	VERB	word
ama	PRON	word
amah	PRON	word
amaha	PRON	word
amahah	PRON	word
amahan	PRON	word
amaherawchu	CCONJ	word
amaherawh	CCONJ	word
amaherawhchu	CCONJ	word
amahin	PRON	word
amahina	PRON	word
amahni	PRON	word
amahzawngtute	NOUN	word
amaichâm	NOUN	word
amaichâmte	NOUN	word
amal	ADJ	word
amala	ADJ	word
amam	ADJ	word
amamawh	ADJ	word
aman	NOUN	word
aman	PRON	word
amàn	PRON	word
amana	VERB	word
amangang	VERB	word
amar	NOUN	word
amasate	ADJ	word
amâw	INTJ	word
amawi	ADJ	word
amei	NOUN	word
ameikhu	NOUN	word
amet	VERB	word
amin	ADJ	word
amite	NOUN	word
amiten	NOUN	word
amithmuh	ADJ	word
amithmuhah	ADJ	word
amitin	ADJ	word
amuanawmin	ADJ	word
amuang	ADJ	word
amuhil	VERB	word
amutpui	VERB	word
an	NOUN	word
an	VERB	word
an	PRON	word
àn	VERB	word
àn	PRON	word
anaa	VERB	word
anal	VERB	word
anam	VERB	word
anang	VERB	word
anaupang	ADJ	word
anâwia	ADJ	word
anâwiin	ADJ	word
anawite	ADJ	word
anawm	ADJ	word
anbang	VERB	word
anbawng	NOUN	word
âncheh	ADJ	word
anchhe	NOUN	word
ânchhe	NOUN	word
ânchhedawn	NOUN	word
anchhedawng	ADJ	word
ânchhedawng	ADJ	word
ânchhedawngah	ADJ	word
ânchhedawngin	ADJ	word
ânchhelawh	VERB	word
anchhia	NOUN	word
ânchhia	NOUN	word
ânchhiaa	NOUN	word
ânchhiaahte	NOUN	word
ânchhiain	NOUN	word
ânchhiate	NOUN	word
anchhuahtir	VERB	word
anchi-ri	NOUN	word
anchuantir	VERB	word
anchungah	ADJ	word
aneih	NOUN	word
ang	VERB	word
ang	ADJ	word
ang	ADV	word
âng	VERB	word
angah	ADJ	word
angahte	ADJ	word
angai	ADJ	word
angaih	ADJ	word
angaiha	ADJ	word
angaihna	ADJ	word
angaihnawm	ADJ	word
angaihnawmin	ADJ	word
angaihsak	VERB	word
angaihtuah	VERB	word
angaina	VERB	word
angchhung	NOUN	word
angchhûng	NOUN	word
ângchhung	NOUN	word
ângchhûng	NOUN	word
ângchhûng	ADJ	word
angchhunga	ADJ	word
angchhûnga	ADJ	word
ângchhûnga	ADJ	word
angchhungah	ADJ	word
angchhûngah	ADJ	word
ângchhûngah	ADJ	word
angel	NOUN	word
angem	CCONJ	word
anghah	VERB	word
