phrase	tag
a bilha tho lo	ADJ
a bung bawrin	ADJ
a bung bâwrin	ADJ
a chhan a lak thiam	ADJ
a chhan a lâk thiam	ADJ
a chhàn a lak thiam	ADJ
a chhàn a lâk thiam	ADJ
a hman hman	ADJ
a kip a kawiin	ADJ
a lawngin	ADJ
a lâwngin	ADJ
a nu chhu dam	ADJ
a pumpa	ADJ
ah ah	ADJ
ai en thiam	ADJ
ai kaih thiam	ADJ
ai-en thiam	ADJ
aih aih	ADJ
ai-kaih thiam	ADJ
al al	ADJ
alh alh	ADJ
am am	ADJ
an hlawk	ADJ
an hlâwk	ADJ
àn hlawk	ADJ
àn hlâwk	ADJ
an vaiin	ADJ
an zain	ADJ
anchhe lawh hmang	ADJ
ânchhe lawh hmang	ADJ
ap ap	ADJ
ar ar	ADJ
âr âr	ADJ
ar hmai tiat	ADJ
âr hmai tiat	ADJ
ar khel	ADJ
ar khêl	ADJ
âr khel	ADJ
âr khêl	ADJ
ar thai ang nuan	ADJ
âr thai ang nuan	ADJ
ara chuk tui lo	ADJ
âra chuk tui lo	ADJ
arla tui zat	ADJ
arsi en tawk	ADJ
au au	ADJ
aw fiak	ADJ
aw lai	ADJ
aw lâi	ADJ
aw lawi	ADJ
aw làwi	ADJ
aw lian	ADJ
aw pawr	ADJ
aw pâwr	ADJ
aw sin	ADJ
aw sîn	ADJ
aw te	ADJ
aw té	ADJ
awh awh	ADJ
awh fak	ADJ
awh fâk	ADJ
awh fakawm	ADJ
awh fâkawm	ADJ
awih awih	ADJ
awih awm	ADJ
awih àwm	ADJ
âwih awm	ADJ
âwih àwm	ADJ
awih bakba hai	ADJ
âwih bakba hâi	ADJ
awih makmawh	ADJ
âwih mâkmawh	ADJ
awihsak tlak	ADJ
âwihsak tlâk	ADJ
awl ai	ADJ
awl ai tak	ADJ
awm dan thiam	ADJ
awm dân thiam	ADJ
awm gne	ADJ
awm gnê	ADJ
awm herh	ADJ
awm hniang	ADJ
awm khauh	ADJ
âwm khauh	ADJ
awm lian	ADJ
awm lo	ADJ
awm mawh	ADJ
awm nem	ADJ
awm nge	ADJ
awm ngê	ADJ
awm no	ADJ
awm nuam lo	ADJ
awm pe	ADJ
awm pê	ADJ
awm ren rawn	ADJ
awm ren râwn	ADJ
awm rên rawn	ADJ
awm rên râwn	ADJ
awm rer rawr	ADJ
awm rer râwr	ADJ
awm rêr rawr	ADJ
awm rêr râwr	ADJ
awm ze nei	ADJ
awmna bulbal nei lo	ADJ
awmna bulbâl nei lo	ADJ
awm-ze nei	ADJ
awr awr	ADJ
awrh awrh	ADJ
âwrh âwrh	ADJ
awt awt	ADJ
âwt âwt	ADJ
bak bak	ADJ
bǎk bǎk	ADJ
bam bam	ADJ
bâm bâm	ADJ
ban thlang tling	ADJ
ban thlang tlîng	ADJ
bang hlang	ADJ
bar bar	ADJ
bár bár	ADJ
barh barh	ADJ
baw raw	ADJ
bawl bawl	ADJ
bawp bawp	ADJ
bawr bawr	ADJ
bawrh bawrh	ADJ
be hliang	ADJ
be hliang rawk	ADJ
belval vala val	ADJ
bem bem	ADJ
ben mawh	ADJ
beng bung	ADJ
beng chhe	ADJ
beng tulul	ADJ
buai pui tham	ADJ
buai thlak	ADJ
buai thlâk	ADJ
buai-pui tham	ADJ
bual chhe lo	ADJ
buan chak	ADJ
buang ngeng	ADJ
buang ngêng	ADJ
buh thlo thei	ADJ
bulh bulh	ADJ
bur bur	ADJ
būr būr	ADJ
chak awm	ADJ
chak àwm	ADJ
chak chak	ADJ
chak lo	ADJ
chakai thi ang	ADJ
chakvak lo	ADJ
chal lang	ADJ
chal tawng	ADJ
chal tlai	ADJ
chal tlai huai	ADJ
chala lei si	ADJ
char po	ADJ
chatlak kar	ADJ
chau hau	ADJ
châu hâu	ADJ
chaw mawlh	ADJ
chaw rawp	ADJ
chaw rno	ADJ
chaw tui	ADJ
chawih chawih	ADJ
cháwih cháwih	ADJ
chawlawl zo tawh	ADJ
chawlik lha	ADJ
chawp chawp	ADJ
chawr chawr	ADJ
chawrh nawk	ADJ
chawt chawt	ADJ
chei lian	ADJ
chek chek	ADJ
chem zang	ADJ
chen chen	ADJ
cher chawk	ADJ
chér chawk	ADJ
cher cher	ADJ
cher sawng ban tii tei	ADJ
cher sawng ban tîi tei	ADJ
cher sawng ban ṭii ṭei	ADJ
cher sawng ban ṭîi ṭei	ADJ
cher sawng bàn tii tei	ADJ
cher sâwng ban tii tei	ADJ
cher sâwng ban tîi tei	ADJ
cher sâwng ban ṭii ṭei	ADJ
cher sâwng ban ṭîi ṭei	ADJ
cher sâwng bàn tii tei	ADJ
chér sawng ban tii tei	ADJ
chér sawng ban tîi tei	ADJ
chér sawng ban ṭii ṭei	ADJ
chér sawng ban ṭîi ṭei	ADJ
chér sawng bàn tii tei	ADJ
chér sâwng ban tii tei	ADJ
chér sâwng ban tîi tei	ADJ
chér sâwng ban ṭii ṭei	ADJ
chér sâwng ban ṭîi ṭei	ADJ
chér sâwng bàn tii tei	ADJ
chet chet	ADJ
chet chêt	ADJ
chêt chêt	ADJ
cheu cheu	ADJ
cheuh cheuh	ADJ
chhaih kawlh	ADJ
chhak chhak	ADJ
chhal ha	ADJ
chham bal	ADJ
chhang hmet	ADJ
chhang zing	ADJ
chhawhchhi chip	ADJ
chhawihfa thlawk	ADJ
chhawk awlh	ADJ
chhawk chhawk	ADJ
chhawng chhawng	ADJ
chhawng hnawt	ADJ
chhawr chhawr	ADJ
chhawrpial run	ADJ
chhawrpial rûn	ADJ
chhe hnap	ADJ
chhe lam	ADJ
chhe tha	ADJ
chhe ţha	ADJ
chhem dam	ADJ
chhen fak awm	ADJ
chheng chhe	ADJ
chheng chhia	ADJ
chher chher	ADJ
chhia tha	ADJ
chhia ţha	ADJ
chhia that	ADJ
chhia ţhat	ADJ
chhinchhiahna zungbun	ADJ
chho ulh	ADJ
chhu hrawt	ADJ
chhu kaw ping	ADJ
chhuana neih	ADJ
chhui chhuah rual loh	ADJ
chhungril ril	ADJ
chhûngril ril	ADJ
chhungthla hual	ADJ
chhut chhut	ADJ
chi hrang	ADJ
chi kawm	ADJ
chî kawm	ADJ
chiah mai	ADJ
chim awm	ADJ
chip chiar	ADJ
chuang liam	ADJ
chuih chuih	ADJ
chum chiap	ADJ
chum dawng	ADJ
chum dáwng	ADJ
chuti zat zat	ADJ
dah dah	ADJ
daitam sazu	ADJ
daithlang lag	ADJ
daithlang lâg	ADJ
dam dam	ADJ
dam man awm	ADJ
dam rei	ADJ
dang lo	ADJ
dap chhuah	ADJ
dap dap	ADJ
dar dar	ADJ
dar dár	ADJ
dawl zawh	ADJ
dawm dawm	ADJ
dawn rual	ADJ
dâwn rual	ADJ
dawr dawr	ADJ
dawt dawt	ADJ
de chuai	ADJ
de de	ADJ
de ser ser	ADJ
de set set	ADJ
dê sêt sêt	ADJ
de sur	ADJ
de ve ve	ADJ
de vê vê	ADJ
de vu vu	ADJ
deh deh	ADJ
deh ral	ADJ
dek dek	ADJ
dêk dêk	ADJ
dek ral	ADJ
del del	ADJ
delh delh	ADJ
dem dem	ADJ
den den	ADJ
dên dên	ADJ
dep dep	ADJ
dêp dêp	ADJ
dep ngai	ADJ
dep ngâi	ADJ
dep ngaih	ADJ
der der	ADJ
deu chhuan	ADJ
deu deu	ADJ
deuh deuh	ADJ
diai diai	ADJ
diam diam	ADJ
diar diar	ADJ
dik lo	ADJ
dikdak lo	ADJ
dim thiam	ADJ
dimduai lo	ADJ
dîmduai lo	ADJ
din hual	ADJ
ding chhuah	ADJ
ding hawn	ADJ
dip dip	ADJ
dip ngai	ADJ
dip ngaih	ADJ
dúm a	ADJ
dum paw	ADJ
dum pâw	ADJ
dum pawl	ADJ
dum páwl	ADJ
dun dun	ADJ
dûn dûn	ADJ
dup dup	ADJ
dur dur	ADJ
durh durh	ADJ
dûrh dûrh	ADJ
eih eih	ADJ
ek awk	ADJ
ek âwk	ADJ
èk awk	ADJ
èk âwk	ADJ
êk awk	ADJ
êk âwk	ADJ
el awl	ADJ
el àwl	ADJ
èl awl	ADJ
èl àwl	ADJ
êl awl	ADJ
êl àwl	ADJ
el el	ADJ
el eu	ADJ
êl eu	ADJ
elh elh	ADJ
en phal loh	ADJ
enchim loh	ADJ
eng mah tham lo	ADJ
er er	ADJ
êr êr	ADJ
fah fei	ADJ
fak tlak	ADJ
fang tir	ADJ
fano dawi	ADJ
fap fei	ADJ
far far	ADJ
fawng fawng	ADJ
fawp fu	ADJ
fek fawn	ADJ
fêk fawn	ADJ
fek fek	ADJ
fel fel	ADJ
fel lo	ADJ
fep fep	ADJ
fer fer	ADJ
fer fur	ADJ
fet fet	ADJ
fêt fêt	ADJ
fiamthu thiam	ADJ
fiâmthu thiam	ADJ
fik awk	ADJ
fing lo	ADJ
fing vervek	ADJ
fu fu	ADJ
fuih fuih	ADJ
fuk fuk	ADJ
fumfe lo	ADJ
fung fung	ADJ
fur fur	ADJ
fur khawthiang	ADJ
fûr khawthiang	ADJ
ha ha	ADJ
hâ hâ	ADJ
ha hi	ADJ
hah hah	ADJ
hai hai	ADJ
haih haih	ADJ
hak fawng	ADJ
hak hak	ADJ
hâk hâk	ADJ
hal hal	ADJ
hang lam	ADJ
hap hap	ADJ
har har	ADJ
harh chhuak	ADJ
hauh hauh	ADJ
hauvawng dar	ADJ
haw haw	ADJ
hâw hâw	ADJ
hawh hawh	ADJ
hawi hawi	ADJ
hawihhai lo	ADJ
hawihhâi lo	ADJ
hawk dak	ADJ
hâwk dâk	ADJ
hawl hawl	ADJ
hawlh bung	ADJ
hawlh hawlh	ADJ
hawlrivap lung	ADJ
hawr hawr	ADJ
heh peh	ADJ
heh petin	ADJ
hei leh chen hi	ADJ
hel hel	ADJ
hel hmang	ADJ
hem dum	ADJ
hem hem	ADJ
hem ung	ADJ
hen hen	ADJ
heuh heuh	ADJ
hial hial	ADJ
hiâl hiâl	ADJ
hiar hiar	ADJ
hla hla	ADJ
hlâ hlâ	ADJ
hlawk hlawk	ADJ
hlawm khat	ADJ
hláwm khat	ADJ
hlawt hlawt	ADJ
hleipui meipar	ADJ
hlek hlek	ADJ
hlep thla	ADJ
hliah hliah	ADJ
hliau hliau	ADJ
hlim la	ADJ
hlim thei	ADJ
hling khei	ADJ
hling nei	ADJ
hlîng nei	ADJ
hling neih	ADJ
hlîng neih	ADJ
hlu hlu	ADJ
hluk hluk	ADJ
hma zawngin	ADJ
hma zim	ADJ
hmabak ko	ADJ
hmabak kô	ADJ
hmabâk ko	ADJ
hmabâk kô	ADJ
hmai bial	ADJ
hmái bial	ADJ
hmai hlai	ADJ
hmai hlâi	ADJ
hmái hlai	ADJ
hmái hlâi	ADJ
hmai khuh	ADJ
hmai mual	ADJ
hmái mual	ADJ
hmai pan	ADJ
hmái pan	ADJ
hmai sin	ADJ
hmai sîn	ADJ
hmái sin	ADJ
hmái sîn	ADJ
hmai tlang chhah	ADJ
hmái tlang chhah	ADJ
hmai tluak	ADJ
hmái tluak	ADJ
hmai tung	ADJ
hmái tung	ADJ
hman ata tawh	ADJ
hmán ata tawh	ADJ
hman nuam	ADJ
hman rim	ADJ
hman tlak	ADJ
hman tlâk	ADJ
hman wm	ADJ
hmana mi tawh	ADJ
hmang tha	ADJ
hmar hleng	ADJ
hmar kil	ADJ
hmasa ber	ADJ
hmei nelawm	ADJ
hmel nelawm	ADJ
hmêl nêlawm	ADJ
hmel thuar	ADJ
hmel thuâr	ADJ
hmêl thuar	ADJ
hmêl thuâr	ADJ
hmel thur	ADJ
hmêl thur	ADJ
hmelchhe baibawk	ADJ
hmelchhe baibâwk	ADJ
hmêlchhe baibawk	ADJ
hmêlchhe baibâwk	ADJ
hmelchhiat lai	 idm.	ADJ
hmêlchhiat lai	 idm.	ADJ
hmelhem lo	ADJ
hmelhriat loh mi	ADJ
hmerh hmerh	ADJ
hmin lo	ADJ
hmin loh	ADJ
hmin sa	ADJ
hmin tha	ADJ
hmin ṭha	ADJ
hmin tuah	ADJ
hmin ṭuah	ADJ
hmuh chhuah rual loh	ADJ
hmuh thiam	ADJ
hmuh tlang theih	ADJ
hmui buk	ADJ
hmùi buk	ADJ
hmui bum lian	ADJ
hmùi bum lian	ADJ
hmui chhah	ADJ
hmùi chhah	ADJ
hmui mim chip zum	ADJ
hmui mîm chip zum	ADJ
hmûi mim chip zum	ADJ
hmûi mîm chip zum	ADJ
hmui ngah	ADJ
hmuipui pu	ADJ
hmûipui pu	ADJ
hmul ngah	ADJ
hnai lak	ADJ
hnai suf	ADJ
hnaisai lo	ADJ
hnam dang	ADJ
hnam laktla	ADJ
hnam ze tinreng	ADJ
hnang hnang	ADJ
hnawih theih	ADJ
hnial dang	ADJ
hnim pet	ADJ
hnuk hnuk	ADJ
hnute hne lai	ADJ
hrang hrang	ADJ
hrat khawkheng	ADJ
hrawt hrawt	ADJ
hre hre	ADJ
hreipui ha	ADJ
hrek hrek	ADJ
hri bawraw	ADJ
hrivei that	ADJ
hrohrang chhe	ADJ
hrohrang chhia	ADJ
hrohrang chhiat	ADJ
hruah hruah	ADJ
hruai hrat	ADJ
hruai sual	ADJ
hruam hruam	ADJ
hrut khawk	ADJ
hu chhuah	ADJ
hu hu	ADJ
hû hu	ADJ
hû hû	ADJ
hu nat	ADJ
hu nei	ADJ
huau huau	ADJ
huâu huâu	ADJ
huh chhuah	ADJ
huh huh	ADJ
huih thlak	ADJ
huiu huau	ADJ
hulh hulh	ADJ
hun chep	ADJ
hun chêp	ADJ
hun nei	ADJ
hun tepter	ADJ
hun teptêr	ADJ
hut hut	ADJ
in uai	ADJ
in unau	ADJ
inchawih tawk	ADJ
inchei dan	ADJ
inchhang zing	ADJ
inkai hluai	ADJ
inkai theih	ADJ
inrunral thiam	ADJ
inrunrâl thiam	ADJ
inrunril thiam	ADJ
ir awm	ADJ
ir er	ADJ
ir êr	ADJ
îr er	ADJ
îr êr	ADJ
jawng hmangthiam	ADJ
jawng tlem	ADJ
kai phar	ADJ
kai theih	ADJ
kal bosan	ADJ
kal chhuak	ADJ
kal thei	ADJ
kal thei tir	ADJ
kara tlak	ADJ
karh karh	ADJ
karkalak zau	ADJ
kaw khawh	ADJ
kaw lawi lo	ADJ
kaw lo	ADJ
kaw to	ADJ
kawh ruk	ADJ
kaw-lawi lo	ADJ
kawt hmun	ADJ
ke khai	ADJ
ke khingbai	ADJ
ker ker	ADJ
ket lawk	ADJ
keuh keuh	ADJ
kham kai	ADJ
kham khawp	ADJ
khan kai	ADJ
khan lo	ADJ
khang khan	ADJ
khâng khân	ADJ
khap bet	ADJ
khar phui	ADJ
khár phui	ADJ
khat chuan	ADJ
khaw hmu	ADJ
khaw hmuh	ADJ
khaw hmuh theihna	ADJ
khaw leilung	ADJ
khaw nu khaw pa	ADJ
khaw serh ni	ADJ
khaw te	ADJ
khaw té	ADJ
khaw tha	ADJ
khaw ţha	ADJ
khaw thal	ADJ
khaw ţhâl	ADJ
khaw thawt	ADJ
khaw thengthaw	ADJ
khaw thian	ADJ
khaw thim	ADJ
khaw tin khaw tangah	ADJ
khaw tina	ADJ
khaw tinah	ADJ
khaw tlaipui	ADJ
khaw zâwl	ADJ
khawbring tui fai	ADJ
khawfing chat	ADJ
khawfîng chat	ADJ
khawhar zai sak	ADJ
khawhar zu	ADJ
khawhring tui ţai	ADJ
khawi lak	ADJ
khawi vab	ADJ
khawia kimah	ADJ
khawiah va suh	ADJ
khawih tah	ADJ
khawihli fahrah	ADJ
khawihli zang	ADJ
khawl khawm	ADJ
khâwl khâwm	ADJ
khawla chhu	ADJ
khawla chhut	ADJ
khawlai thlî	ADJ
khawlai ung	ADJ
khâwlchhut in	ADJ
khawlh ring	ADJ
khawlian thlawhhma chen	ADJ
khawmual lawng	ADJ
khawmual thizil	ADJ
khawn ai	ADJ
khàwn ai	ADJ
khàwn tlak	ADJ
khawng thlu	ADJ
khawng thluk	ADJ
khawngaih hmêl put	ADJ
khawngaih thla lak	ADJ
khawngaih thla lâk	ADJ
khawngaihna lak	ADJ
khawngaihna lâk	ADJ
khàwnvar puan	ADJ
