word	tag
a	NOUN
a	PRON
a	PART
a	PART
a	INTJ
ă	VERB
ã	ADJ
abalangin	ADJ
abang	ADJ
abâng	NOUN
abannate	NOUN
abansan	VERB
abawhchhiat	ADJ
abawhtu	NOUN
abâwih	VERB
abawihnu	NOUN
abawk	NOUN
abawkkhup	VERB
abawkte	NOUN
abekbawrah	ADJ
abengah	ADJ
abiak	ADJ
abihrukna	NOUN
abika	ADJ
abikin	ADJ
abiling	ADJ
abiru	VERB
abuah	ADJ
achak	ADJ
achakna	NOUN
achawk	VERB
achha	ADP
achhâ	ADP
achhan	ADJ
achhang	VERB
achhapah	ADJ
achhe	ADJ
achhia	ADJ
achhiahhlawh	NOUN
achhiatna	NOUN
achhip	ADJ
achhuah	VERB
achhuhsak	VERB
achhun	VERB
achhûn	ADJ
achhunga	ADJ
achhûngkua	NOUN
achhûngte	NOUN
achhunzanin	ADJ
achiahhlawhte	NOUN
achim	ADJ
achin	ADJ
achina	ADJ
achinah	ADJ
a-chinah	ADV
achipuite	NOUN
achuang	NOUN
achuangin	ADJ
achung	ADJ
achunga	ADJ
achungah	ADJ
achutah	ADJ
adama	NOUN
ah	VERB
ah	ADV
ahâlral	NOUN
ahangin	ADV
ahângin	ADV
ahara	ADJ
ahâwnga	ADJ
ahimna	NOUN
ah-khaih	INTJ
ahlaia	ADJ
ahlau	ADJ
ahlauhawm	ADJ
ahlauthawng	ADJ
ahlawh	NOUN
ahlawhtlintir	ADJ
ahlei	ADJ
ahleih	ADJ
ahleih	ADV
ahlim	ADJ
ahluanah	ADJ
ahmaa	ADJ
ahmaah	ADJ
ahmaia	ADJ
ahmang	ADJ
ahmangaih	ADJ
ahmangaihna	NOUN
ahmanrua	NOUN
ahmasâng	ADJ
ahmawr	ADJ
ahmei	ADJ
ahmel	NOUN
ahmêl	NOUN
ahmin	ADJ
ahming	ADJ
ahminga	ADJ
ahmingah	ADJ
ahminghliau	ADJ
ahmuh	ADJ
ahmuhtir	ADJ
ahmuia	ADJ
ahmun	NOUN
ahmusitin	ADJ
ahnah	NOUN
ahnam	NOUN
ahnehchhiahin	ADJ
ahnehin	ADJ
ahnehtir	VERB
ahnêka	ADJ
ahnekin	ADJ
ahnekin	ADV
ahnêkin	ADJ
ahnêkin	ADV
ahnên	ADJ
ahnêna	ADJ
ahnenah	ADJ
ahnênah	ADJ
ahnim	VERB
ahnu	ADJ
ahnu	CCONJ
ahnû	ADJ
ahnua	ADJ
ahnu-hmanah	ADV
ahnuin	ADJ
ahnuin	CCONJ
ahnuk	VERB
ahoa	ADJ
ahote	NOUN
ahova	NOUN
ahrang	ADJ
ahrangin	ADJ
ahriamhrei	ADJ
ahriat	ADJ
ahriatin	ADJ
ahriattir	ADJ
ahring	VERB
ahruai	VERB
ahrui	NOUN
ahte	ADJ
ahtu	ADJ
ahuan	ADJ
ahuat	ADJ
ahuh	ADJ
ahum	ADJ
ahunchhan	NOUN
ahung	VERB
ahuntir	VERB
ahup	VERB
ai	NOUN
ai	VERB
ai	ADP
ái	VERB
ài	VERB
âi	NOUN
âi	VERB
âi	ADP
aiah	ADJ
aiah	ADP
âiah	ADP
aiang	ADJ
aiawh	NOUN
aiawh	ADJ
aiawhin	ADJ
aiawhina	ADJ
aiawhna	ADJ
aiawhte	ADJ
aiawhten	ADJ
aiawhtu	NOUN
aiawhtuin	NOUN
aiawhtûin	NOUN
aiawhtute	NOUN
aiawhtuten	NOUN
aiawt	NOUN
aiâwt	NOUN
aiawta	NOUN
aibawp	NOUN
aichal	NOUN
aichhe	NOUN
aichheh	NOUN
aichhia	NOUN
aidu	NOUN
aidup	NOUN
aidûp	NOUN
aidu-ria	NOUN
aidusentil	NOUN
ai-en	VERB
âi-en	VERB
aieng	NOUN
ai-eng	NOUN
aienin	NOUN
aienna	NOUN
aiennaah	NOUN
aiente	NOUN
aienthiam	NOUN
aienthiamna	NOUN
aienthiamte	NOUN
aientira	ADJ
âientu	NOUN
aientute	NOUN
aifiar	NOUN
aiguptahovin	NOUN
aiguptate	NOUN
aih	NOUN
aih	VERB
áih	NOUN
aihal	VERB
ai-hnah-phahpui	NOUN
âi-hnah-phahpui	NOUN
ai-hni	NOUN
aiin	ADJ
aiin	ADP
ai-inzial	VERB
ai-ip	NOUN
aikaih	ADJ
ai-kaih	VERB
âikaih	VERB
aikaihthiam	NOUN
aikaihthiamte	NOUN
âikaihthiamte	NOUN
aikal	NOUN
aikam	NOUN
aikhat	NOUN
âikhat	NOUN
aikhirh	VERB
aina	NOUN
ainawn	NOUN
ainngaihlu	VERB
aisan	VERB
aisanthiamte	NOUN
aisânthiamte	NOUN
aitechhin	VERB
aitechhinna	NOUN
aitechin	VERB
aithur	NOUN
aizial	VERB
ak	VERB
akai	VERB
akaihhnawih	ADJ
akaihruai	VERB
akaisantir	VERB
akal	NOUN
akalhna	NOUN
akalna	NOUN
akalsan	NOUN
akaltir	VERB
akap	VERB
akara	ADJ
akâra	ADJ
akawiin	ADJ
akawng	NOUN
akawr	NOUN
akeng	VERB
akentir	VERB
akharkhip	VERB
akhat	ADJ
akhawperte	NOUN
akhawpui	NOUN
akhawvel	NOUN
akhua	NOUN
akhuaa	NOUN
akhuarte	NOUN
akhuh	ADJ
akhum	ADJ
akiang	ADJ
akianga	ADJ
akil	ADJ
akir	ADJ
akîr	ADJ
akohtir	VERB
aktu	ADJ
akulhbinga	ADJ
akum	ADJ
akut	ADJ
akutah	ADJ
akutte	ADJ
al	VERB
alai	ADJ
alaia	ADJ
a-laiah	ADP
alaichin	NOUN
alaiin	ADJ
alainat	VERB
alak	ADJ
alaka	ADJ
alakah	ADJ
alaknaa	ADJ
alaksak	VERB
alakte	ADJ
alal	VERB
alalthutphah	NOUN
alalṭhutphah	NOUN
alam	VERB
alan	ADJ
alang	ADJ
alanga	ADJ
alangin	ADJ
alantir	VERB
alar	ADJ
alawi	ADJ
alawm	ADJ
alawm	PART
aláwm	PART
alâwm	ADJ
alawmzawng	ADJ
alei	VERB
aleiah	ADJ
a-leiah	ADP
aleitu	NOUN
alektute	NOUN
alên	VERB
alentir	VERB
alêt	VERB
alh	VERB
alhin	ADJ
alhna	NOUN
alhtîr	VERB
alhtu	NOUN
aliam	ADJ
aliam	ADP
aliama	ADJ
aliamah	ADJ
aliamin	ADJ
alian	ADJ
alingin	ADJ
a-lo	PART
althlum	ADJ
aluang	VERB
aluh	VERB
aluhna	NOUN
aluhtir	VERB
alungah	ADJ
alut	VERB
am	VERB
âm	VERB
ama	PRON
amah	PRON
amaha	PRON
amahah	PRON
amahan	PRON
amaherawchu	CCONJ
amaherawh	CCONJ
amaherawhchu	CCONJ
amahin	PRON
amahina	PRON
amahni	PRON
amahzawngtute	NOUN
amaichâm	NOUN
amaichâmte	NOUN
amal	ADJ
amala	ADJ
amam	ADJ
amamawh	ADJ
aman	NOUN
aman	PRON
amàn	PRON
amana	VERB
amangang	VERB
amar	NOUN
amasate	ADJ
amâw	INTJ
amawi	ADJ
amei	NOUN
ameikhu	NOUN
amet	VERB
amin	ADJ
amite	NOUN
amiten	NOUN
amithmuh	ADJ
amithmuhah	ADJ
amitin	ADJ
amuanawmin	ADJ
amuang	ADJ
amuhil	VERB
amutpui	VERB
an	NOUN
an	VERB
an	PRON
àn	VERB
àn	PRON
anaa	VERB
anal	VERB
anam	VERB
anang	VERB
anaupang	ADJ
anâwia	ADJ
anâwiin	ADJ
anawite	ADJ
anawm	ADJ
anbang	VERB
anbawng	NOUN
âncheh	ADJ
anchhe	NOUN
ânchhe	NOUN
ânchhedawn	NOUN
anchhedawng	ADJ
ânchhedawng	ADJ
ânchhedawngah	ADJ
ânchhedawngin	ADJ
ânchhelawh	VERB
anchhia	NOUN
ânchhia	NOUN
ânchhiaa	NOUN
ânchhiaahte	NOUN
ânchhiain	NOUN
ânchhiate	NOUN
anchhuahtir	VERB
anchi-ri	NOUN
anchuantir	VERB
anchungah	ADJ
aneih	NOUN
ang	VERB
ang	ADJ
ang	ADV
âng	VERB
angah	ADJ
angahte	ADJ
angai	ADJ
angaih	ADJ
angaiha	ADJ
angaihna	ADJ
angaihnawm	ADJ
angaihnawmin	ADJ
angaihsak	VERB
angaihtuah	VERB
angaina	VERB
angchhung	NOUN
angchhûng	NOUN
ângchhung	NOUN
ângchhûng	NOUN
ângchhûng	ADJ
angchhunga	ADJ
angchhûnga	ADJ
ângchhûnga	ADJ
angchhungah	ADJ
angchhûngah	ADJ
ângchhûngah	ADJ
angel	NOUN
angem	CCONJ
anghah	VERB
anghawng	ADJ
anghet	ADJ
anghmiang	CCONJ
anghnai	ADJ
anghoten	ADJ
angiang	ADJ
angilneihna	NOUN
angin	ADJ
ângin	ADJ
angina	ADJ
anginah	ADJ
angkawp	VERB
angkawpin	VERB
angkhat	ADJ
angkhata	ADJ
angkhatin	ADV
anglai	ADJ
anglo	ADJ
anglum	NOUN
ânglum	NOUN
angmah	ADJ
angmai	ADJ
angreng	ADJ
angrengin	ADJ
angte	ADJ
angten	ADJ
angtu	NOUN
ângtu	NOUN
angul	NOUN
an-hawp	NOUN
an-hàwp	NOUN
anhla	NOUN
an-hla	NOUN
an-hlá	NOUN
àn-hla	NOUN
àn-hlá	NOUN
ânhla	NOUN
an-hlawk	ADJ
an-hlâwk	ADJ
àn-hlawk	ADJ
àn-hlâwk	ADJ
anhling	NOUN
anhlíng	NOUN
anhmelmate	NOUN
anhmêlmate	NOUN
anhming	NOUN
anhmingte	NOUN
anhmuh	ADJ
anhmun	NOUN
anhnah	NOUN
ânhrât	ADJ
ani	PRON
ania	PUNCT
ania	CCONJ
aniang	CCONJ
anichuan	PRON
aniha	CCONJ
anihna	NOUN
anihzia	ADJ
aniin	ADJ
anin	PRON
an-ka	NOUN
an-kâ	NOUN
àn-ka	NOUN
àn-kâ	NOUN
ânkâa	NOUN
ankal	ADJ
ankalna	NOUN
ankalpui	ADJ
ankasa	NOUN
ankha	NOUN
ankhapui	NOUN
ankhawlohna	NOUN
ankhum	ADJ
ânkhum	ADJ
ânkhuma	ADJ
ânkhumna	ADJ
ânkhumtu	NOUN
anku	NOUN
ankû	NOUN
anlak	ADJ
anlohna	ADJ
anmahah	PRON
anmahni	PRON
anmahnia	PRON
anmahnîa	PRON
anmahniah	PRON
anmahnîah	PRON
anmahniho	PRON
anmahnihovin	PRON
anmahniin	PRON
anmahnin	PRON
anmithmuh	ADJ
anna	NOUN
